name,price_usd,year,manufacturer,model,class,length_ft,fuel,hull_material,hull_shape
2023 grand soleil 46 lc2023 grand soleil 46 lc,0,2023,grand soleil,46 lc,sailing yachts,48,diesel,fiberglass / polyester,monohull
1976 custom tdm 48 plan rouillard1976 custom tdm 48 plan rouillard,59950,1976,custom,tdm 48 plan rouillard,sloop boats,48,diesel,steel,
2019 dufour 48catamaran2019 dufour 48catamaran,699145,2019,dufour,48catamaran,catamaran,48,diesel,fiberglass / polyester,catamaran
2000 bavaria 47 ocean 2000 bavaria 47 ocean2000 bavaria 47 ocean 2000 bavaria 47 ocean,152600,2000,bavaria,47 ocean 2000 bavaria 47 ocean,daysailers,48,,fiberglass / polyester,
2001 bavaria bavaria 502001 bavaria bavaria 50,153690,2001,bavaria,bavaria 50,catamaran,48,diesel,fiberglass / polyester,
2002 beneteau oceanis clipper 473 beneteau oceanis clipper 4732002 beneteau oceanis clipper 473 beneteau oceanis clipper 473,185300,2002,beneteau,oceanis clipper 473 beneteau oceanis clipper 473,daysailers,48,diesel,fiberglass / polyester,
2010 custom bert mauri massimo bert mauri composite 482010 custom bert mauri massimo bert mauri composite 48,218000,2010,custom,bert mauri massimo bert mauri composite 48,sailing yachts,48,diesel,fiberglass / polyester,displacement
1939 eight metre yacht tore holm1939 eight metre yacht tore holm,162410,1939,eight metre yacht,tore holm,sloop boats,48,diesel,other materials,
1964 holman 481964 holman 48,148766,1964,holman,48,sailing yachts,47,diesel,wood,monohull
2017 beneteau oceanis 482017 beneteau oceanis 48,287971,2017,beneteau,oceanis 48,sailing yachts,47,diesel,fiberglass / polyester,
2017 beneteau oceanis 482017 beneteau oceanis 48,300202,2017,beneteau,oceanis 48,sailing yachts,47,diesel,fiberglass / polyester,
2017 beneteau oceanis 482017 beneteau oceanis 48,299090,2017,beneteau,oceanis 48,sailing yachts,47,diesel,fiberglass / polyester,
1971 camper & nicholsons 45 sloop1971 camper & nicholsons 45 sloop,97010,1971,camper & nicholsons,45 sloop,sailing yachts,47,diesel,fiberglass / polyester,other
2022 custom dufour catamarans 48 cervetti2022 custom dufour catamarans 48 cervetti,0,2022,custom,dufour catamarans 48 cervetti,catamaran,47,diesel,fiberglass / polyester,catamaran
1968 custom radiant 481968 custom radiant 48,239800,1968,custom,radiant 48,sailing yachts,47,diesel,wood,
2022 hanse 4602022 hanse 460,391310,2022,hanse,460,daysailers,47,diesel,fiberglass / polyester,
2022 hanse 460 - september 2022 bug-u. heckstrahl etc.2022 hanse 460 - september 2022 bug-u. heckstrahl etc.,579880,2022,hanse,460 - september 2022 bug-u. heckstrahl etc.,sailing yachts,47,diesel,fiberglass / polyester,
2013 boreal 472013 boreal 47,565710,2013,boreal,47,sloop boats,47,diesel,aluminum,
2004 beneteau first 47.72004 beneteau first 47.7,106820,2004,beneteau,first 47.7,racer/cruiser sailboats,47,diesel,fiberglass / polyester,
2001 beneteau first 47.72001 beneteau first 47.7,130800,2001,beneteau,first 47.7,sailing yachts,47,diesel,fiberglass / polyester,other
2003 beneteau oceanis clipper 4732003 beneteau oceanis clipper 473,140610,2003,beneteau,oceanis clipper 473,sailing yachts,47,diesel,fiberglass / polyester,
1980 cheoy lee 48 ketch1980 cheoy lee 48 ketch,141700,1980,cheoy lee,48 ketch,sloop boats,47,diesel,other materials,other
2007 nautitech catamarans nautitech 472007 nautitech catamarans nautitech 47,430550,2007,nautitech catamarans,nautitech 47,catamaran,47,diesel,composite,
2004 poncin harmony 472004 poncin harmony 47,125350,2004,poncin,harmony 47,sloop boats,47,diesel,other materials,
1992 type colin archer kvase 13501992 type colin archer kvase 1350,141591,1992,type colin archer,kvase 1350,sloop boats,47,diesel,steel,other
2009 bavaria 47 cruiser2009 bavaria 47 cruiser,173310,2009,bavaria,47 cruiser,sloop boats,47,diesel,other materials,other
1988 jeanneau sun kiss 471988 jeanneau sun kiss 47,106820,1988,jeanneau,sun kiss 47,sailing yachts,47,diesel,composite,
1988 jeanneau sun kiss 471988 jeanneau sun kiss 47,106820,1988,jeanneau,sun kiss 47,sailing yachts,47,diesel,composite,
2022 bavaria c452022 bavaria c45,336597,2022,bavaria,c45,daysailers,47,gasoline,other materials,
1998 impala 48 r family cruiser - preis reduziert1998 impala 48 r family cruiser - preis reduziert,140610,1998,impala,48 r family cruiser - preis reduziert,sailing yachts,47,diesel,fiberglass / polyester,
2022 jeanneau sun odyssey 4902022 jeanneau sun odyssey 490,277950,2022,jeanneau,sun odyssey 490,sloop boats,47,diesel,other materials,other
2022 jeanneau sun odyssey 4902022 jeanneau sun odyssey 490,412737,2022,jeanneau,sun odyssey 490,sailing yachts,47,diesel,fiberglass / polyester,
1987 north wind north wind 471987 north wind north wind 47,239800,1987,north wind,north wind 47,daysailers,47,diesel,other materials,
2015 wauquiez pilot saloon 472015 wauquiez pilot saloon 47,479600,2015,wauquiez,pilot saloon 47,sailing yachts,47,diesel,fiberglass / polyester,monohull
2008 hanse 470 e epoxy2008 hanse 470 e epoxy,178215,2008,hanse,470 e epoxy,sloop boats,46,diesel,composite,other
2001 bavaria 472001 bavaria 47,103550,2001,bavaria,47,sailing yachts,46,diesel,other materials,
2007 custom atelier cap vert tonga 14.22007 custom atelier cap vert tonga 14.2,195110,2007,custom,atelier cap vert tonga 14.2,sailing yachts,46,other,other materials,displacement
"1969 sangermani 14,301969 sangermani 14,30",207100,1969,sangermani,"14,30",classic sailboats,46,diesel,wood,
2006 dehler 472006 dehler 47,201650,2006,dehler,47,sloop boats,46,diesel,fiberglass / polyester,
2013 bavaria cruiser 45 - fortuna2013 bavaria cruiser 45 - fortuna,174400,2013,bavaria,cruiser 45 - fortuna,sailing yachts,46,diesel,fiberglass / polyester,
2011 bavaria cruiser 45 - kokoma2011 bavaria cruiser 45 - kokoma,173310,2011,bavaria,cruiser 45 - kokoma,sailing yachts,46,diesel,fiberglass / polyester,
2011 bavaria cruiser 45-belladonna2011 bavaria cruiser 45-belladonna,152600,2011,bavaria,cruiser 45-belladonna,sailing yachts,46,diesel,fiberglass / polyester,
2022 bavaria cruiser 462022 bavaria cruiser 46,320383,2022,bavaria,cruiser 46,daysailers,46,other,other materials,
2021 bavaria cruiser 462021 bavaria cruiser 46,321550,2021,bavaria,cruiser 46,sloop boats,46,diesel,other materials,other
2017 bavaria cruiser 462017 bavaria cruiser 46,257240,2017,bavaria,cruiser 46,daysailers,46,gasoline,fiberglass / polyester,
2015 bavaria cruiser 46 - spirit2015 bavaria cruiser 46 - spirit,185300,2015,bavaria,cruiser 46 - spirit,sailing yachts,46,diesel,fiberglass / polyester,
2020 bavaria cruiser 462020 bavaria cruiser 46,307380,2020,bavaria,cruiser 46,daysailers,46,diesel,fiberglass / polyester,
2020 bavaria cruiser 462020 bavaria cruiser 46,315010,2020,bavaria,cruiser 46,daysailers,46,diesel,fiberglass / polyester,
2008 bavaria cruiser 462008 bavaria cruiser 46,162410,2008,bavaria,cruiser 46,daysailers,46,diesel,fiberglass / polyester,
1983 beneteau first 4561983 beneteau first 456,73030,1983,beneteau,first 456,racer/cruiser sailboats,46,diesel,composite,
2007 hanse 470e2007 hanse 470e,167860,2007,hanse,470e,racer/cruiser sailboats,46,diesel,fiberglass / polyester,monohull
1983 jeanneau first 4561983 jeanneau first 456,58860,1983,jeanneau,first 456,sloop boats,46,diesel,composite,
2023 neel 472023 neel 47,0,2023,neel,47,trimming,46,diesel,fiberglass / polyester,trimaran
2006 sly 472006 sly 47,281220,2006,sly,47,sailing yachts,46,diesel,fiberglass / polyester,
1981 vagabond vagabond 47 central cockpit ketch1981 vagabond vagabond 47 central cockpit ketch,162410,1981,vagabond,vagabond 47 central cockpit ketch,classic sailboats,46,diesel,fiberglass / polyester,
2008 hanse 470e2008 hanse 470e,223450,2008,hanse,470e,racer/cruiser sailboats,46,diesel,other materials,
1981 custom caroff1981 custom caroff,86328,1981,custom,caroff,sailing yachts,46,diesel,steel,
2020 dufour 4302020 dufour 430,288850,2020,dufour,430,racer/cruiser sailboats,46,diesel,fiberglass / polyester,
2019 dufour 4602019 dufour 460,339190,2019,dufour,460,racer/cruiser sailboats,46,diesel,fiberglass / polyester,
2016 dufour 4602016 dufour 460,244194,2016,dufour,460,racer/cruiser sailboats,46,diesel,fiberglass / polyester,
2016 dufour 460 grand large2016 dufour 460 grand large,216910,2016,dufour,460 grand large,sloop boats,46,other,fiberglass / polyester,other
2016 dufour 460 grand large2016 dufour 460 grand large,211460,2016,dufour,460 grand large,sloop boats,46,diesel,other materials,
2016 dufour 460 grand large2016 dufour 460 grand large,185300,2016,dufour,460 grand large,sloop boats,46,other,other materials,other
1996 jeanneau sun odyssey 45.11996 jeanneau sun odyssey 45.1,92650,1996,jeanneau,sun odyssey 45.1,sailing yachts,46,diesel,composite,
1983 colin archer colina 41  top1983 colin archer colina 41  top,184210,1983,colin archer,colina 41  top,motor glider (sail),46,diesel,fiberglass / polyester,
2008 custom john g. alden design 14.102008 custom john g. alden design 14.10,103550,2008,custom,john g. alden design 14.10,sailing yachts,46,diesel,wood,
2005 dk 46 racer/cruiser2005 dk 46 racer/cruiser,267050,2005,dk,46 racer/cruiser,sloop boats,46,diesel,other materials,
1984 nautica sloop 4451984 nautica sloop 445,136250,1984,nautica,sloop 445,sailing yachts,46,diesel,wood,displacement
2013 jeanneau sun odyssey 4692013 jeanneau sun odyssey 469,168950,2013,jeanneau,sun odyssey 469,sloop boats,46,diesel,other materials,
2013 jeanneau sun odyssey 4692013 jeanneau sun odyssey 469,168950,2013,jeanneau,sun odyssey 469,sloop boats,46,diesel,other materials,
1996 carena 47 pilothouse1996 carena 47 pilothouse,424555,1996,carena,47 pilothouse,sloop boats,46,diesel,steel,
2022 hanse 4582022 hanse 458,380410,2022,hanse,458,daysailers,46,gasoline,fiberglass / polyester,
2005 catalina morgan 4402005 catalina morgan 440,155660,2005,catalina,morgan 440,sailing yachts,45,diesel,fiberglass / polyester,
2003 x-yachts x-462003 x-yachts x-46,245250,2003,x-yachts,x-46,racer/cruiser sailboats,45,diesel,fiberglass / polyester,displacement
2020 bali 4.12020 bali 4.1,576610,2020,bali,4.1,catamaran,45,diesel,composite,
1972 bodrum tirhandil fishing boat1972 bodrum tirhandil fishing boat,75210,1972,bodrum,tirhandil fishing boat,daysailers,45,diesel,wood,
2008 dick zaal ocean wanderer 452008 dick zaal ocean wanderer 45,201650,2008,dick zaal,ocean wanderer 45,sailing yachts,45,diesel,composite,
2008 dick zaal ocean wanderer 45 central cockpit2008 dick zaal ocean wanderer 45 central cockpit,215820,2008,dick zaal,ocean wanderer 45 central cockpit,daysailers,45,diesel,fiberglass / polyester,
1981 formosa 411981 formosa 41,103550,1981,formosa,41,sailing yachts,45,diesel,other materials,
2023 grand soleil 42 lc2023 grand soleil 42 lc,358610,2023,grand soleil,42 lc,racer/cruiser sailboats,45,diesel,fiberglass / polyester,monohull
2022 jeanneau sun odyssey 4902022 jeanneau sun odyssey 490,0,2022,jeanneau,sun odyssey 490,sailing yachts,45,other,fiberglass / polyester,
2018 jeanneau sun odyssey 4902018 jeanneau sun odyssey 490,414200,2018,jeanneau,sun odyssey 490,daysailers,45,diesel,other materials,displacement
1988 le guen hemidy sa levrier des mers 14m1988 le guen hemidy sa levrier des mers 14m,53410,1988,le guen hemidy sa,levrier des mers 14m,daysailers,45,diesel,other materials,
1988 le guen hemidy sa levrier des mers 14m1988 le guen hemidy sa levrier des mers 14m,64310,1988,le guen hemidy sa,levrier des mers 14m,daysailers,45,diesel,other materials,
1988 le guen hemidy sa levrier des mers 14m1988 le guen hemidy sa levrier des mers 14m,53410,1988,le guen hemidy sa,levrier des mers 14m,daysailers,45,diesel,other materials,
1985 reinke hydra m 141985 reinke hydra m 14,49050,1985,reinke,hydra m 14,motor glider (sail),45,gasoline,steel,
1984 reinke hydra sc1984 reinke hydra sc,98100,1984,reinke,hydra sc,sailing yachts,45,diesel,steel,
1981 vagabond 421981 vagabond 42,152600,1981,vagabond,42,classic sailboats,45,diesel,fiberglass / polyester,
2005 bavaria cruiser 462005 bavaria cruiser 46,147150,2005,bavaria,cruiser 46,racer/cruiser sailboats,45,diesel,fiberglass / polyester,
2005 bavaria cruiser 462005 bavaria cruiser 46,128620,2005,bavaria,cruiser 46,sailing yachts,45,diesel,composite,
2005 bavaria cruiser 462005 bavaria cruiser 46,173310,2005,bavaria,cruiser 46,daysailers,45,diesel,other materials,
2019 beneteau oceanis 452019 beneteau oceanis 45,267050,2019,beneteau,oceanis 45,racer/cruiser sailboats,45,diesel,fiberglass / polyester,
2010 grand soleil grand soleil 46 - cf nautica2010 grand soleil grand soleil 46 - cf nautica,196200,2010,grand soleil,grand soleil 46 - cf nautica,sailing yachts,45,gasoline,composite,
2018 sirena azuree 46 -verkauft-2018 sirena azuree 46 -verkauft-,462705,2018,sirena,azuree 46 -verkauft-,daysailers,45,diesel,fiberglass / polyester,
2020 bavaria c452020 bavaria c45,359700,2020,bavaria,c45,racer/cruiser sailboats,45,diesel,fiberglass / polyester,
2019 bavaria c452019 bavaria c45,292120,2019,bavaria,c45,daysailers,45,diesel,fiberglass / polyester,
2019 bavaria c452019 bavaria c45,309560,2019,bavaria,c45,daysailers,45,diesel,fiberglass / polyester,
2017 lagoon 450 s2017 lagoon 450 s,566800,2017,lagoon,450 s,other (sailboats),45,diesel,fiberglass / polyester,
2011 lagoon 4502011 lagoon 450,408750,2011,lagoon,450,catamaran,45,diesel,other materials,
2015 lagoon 450 f2015 lagoon 450 f,457800,2015,lagoon,450 f,catamaran,45,diesel,fiberglass / polyester,catamaran
2012 lagoon 450 f2012 lagoon 450 f,490391,2012,lagoon,450 f,catamarans and trimarans,45,diesel,fiberglass / polyester,catamaran
1995 reinke hydra1995 reinke hydra,54500,1995,reinke,hydra,sailing yachts,45,diesel,aluminum,
2018 beneteau oceanis 452018 beneteau oceanis 45,277950,2018,beneteau,oceanis 45,sloop boats,45,diesel,fiberglass / polyester,
2017 beneteau oceanis 452017 beneteau oceanis 45,221260,2017,beneteau,oceanis 45,sailing yachts,45,diesel,fiberglass / polyester,
2016 beneteau oceanis 452016 beneteau oceanis 45,260510,2016,beneteau,oceanis 45,daysailers,45,diesel,other materials,
2015 beneteau oceanis 452015 beneteau oceanis 45,187904,2015,beneteau,oceanis 45,sailing yachts,45,diesel,fiberglass / polyester,
2015 beneteau oceanis 452015 beneteau oceanis 45,210141,2015,beneteau,oceanis 45,sailing yachts,45,diesel,fiberglass / polyester,
2015 beneteau oceanis 452015 beneteau oceanis 45,210141,2015,beneteau,oceanis 45,sailing yachts,45,diesel,fiberglass / polyester,
2015 beneteau oceanis 452015 beneteau oceanis 45,183456,2015,beneteau,oceanis 45,sailing yachts,45,diesel,fiberglass / polyester,
2022 fountaine pajot tanna 472022 fountaine pajot tanna 47,0,2022,fountaine pajot,tanna 47,catamaran,45,diesel,fiberglass / polyester,
1993 grand soleil grand soleil 451993 grand soleil grand soleil 45,141700,1993,grand soleil,grand soleil 45,daysailers,45,diesel,other materials,
1990 custom shin-hsing delta 461990 custom shin-hsing delta 46,136250,1990,custom,shin-hsing delta 46,sailing yachts,45,diesel,fiberglass / polyester,
2008 carroll marine cat-rigged sailing yacht2008 carroll marine cat-rigged sailing yacht,158050,2008,carroll marine,cat-rigged sailing yacht,sailing yachts,45,diesel,fiberglass / polyester,
1995 lecomte saffier 461995 lecomte saffier 46,184755,1995,lecomte,saffier 46,sloop boats,45,diesel,other materials,
2011 x-yachts xp 442011 x-yachts xp 44,424010,2011,x-yachts,xp 44,sloop boats,45,diesel,other materials,
1986 nelson 461986 nelson 46,65400,1986,nelson,46,cutter,45,diesel,fiberglass / polyester,
2019 nautitech 46 fly2019 nautitech 46 fly,816410,2019,nautitech,46 fly,catamaran,45,diesel,fiberglass / polyester,
1975 de vries lentsch sy1975 de vries lentsch sy,70850,1975,de vries lentsch,sy,sloop boats,45,diesel,steel,other
2005 jeanneau sun odyssey 452005 jeanneau sun odyssey 45,125350,2005,jeanneau,sun odyssey 45,sloop boats,45,diesel,other materials,other
1999 jeanneau sun odyssey 45.21999 jeanneau sun odyssey 45.2,81750,1999,jeanneau,sun odyssey 45.2,sloop boats,45,diesel,fiberglass / polyester,other
1999 jeanneau sun odyssey 45.21999 jeanneau sun odyssey 45.2,156960,1999,jeanneau,sun odyssey 45.2,daysailers,45,diesel,other materials,
2008 dufour 4552008 dufour 455,161320,2008,dufour,455,sailing yachts,45,diesel,fiberglass / polyester,
2006 dufour 455 grand large2006 dufour 455 grand large,140610,2006,dufour,455 grand large,sailing yachts,45,diesel,other materials,
2011 jeanneau so 44i2011 jeanneau so 44i,107910,2011,jeanneau,so 44i,sloop boats,45,diesel,other materials,other
2010 jeanneau sun odyssey 442010 jeanneau sun odyssey 44,107910,2010,jeanneau,sun odyssey 44,sloop boats,45,diesel,fiberglass / polyester,other
"1997 nautors swan 44 mkii sehr guter zustand, preis reduziert!!!1997 nautors swan 44 mkii sehr guter zustand, preis reduziert!!!",271410,1997,nautors swan,"44 mkii sehr guter zustand, preis reduziert!!!",sailing yachts,45,diesel,fiberglass / polyester,
1990 x-yachts 4521990 x-yachts 452,117720,1990,x-yachts,452,racer sailboats,45,diesel,fiberglass / polyester,
2007 jeanneau sun odyssey 452007 jeanneau sun odyssey 45,130800,2007,jeanneau,sun odyssey 45,sailing yachts,45,diesel,fiberglass / polyester,
2022 leopard 452022 leopard 45,921833,2022,leopard,45,catamaran,45,diesel,fiberglass / polyester,
2022 leopard 452022 leopard 45,921833,2022,leopard,45,catamaran,45,diesel,fiberglass / polyester,
2019 robertson & caine leopard 452019 robertson & caine leopard 45,778302,2019,robertson & caine,leopard 45,other (sailboats),45,diesel,fiberglass / polyester,
2018 robertson & caine leopard 452018 robertson & caine leopard 45,689353,2018,robertson & caine,leopard 45,other (sailboats),45,diesel,fiberglass / polyester,
1987 trintella 45 fantastic sailboat1987 trintella 45 fantastic sailboat,114450,1987,trintella,45 fantastic sailboat,sailing yachts,45,diesel,fiberglass / polyester,
2017 nautitech 46 fly2017 nautitech 46 fly,594050,2017,nautitech,46 fly,catamaran,44,diesel,fiberglass / polyester,catamaran
1993 beneteau first 45f51993 beneteau first 45f5,92650,1993,beneteau,first 45f5,daysailers,44,diesel,other materials,
2003 dansail 452003 dansail 45,348800,2003,dansail,45,sloop boats,44,diesel,aluminum,
1990 beneteau first 45f51990 beneteau first 45f5,92650,1990,beneteau,first 45f5,daysailers,44,diesel,other materials,
1993 j boats j/441993 j boats j/44,0,1993,j boats,j/44,racer/cruiser sailboats,44,diesel,fiberglass / polyester,monohull
2006 beneteau first 44.72006 beneteau first 44.7,136250,2006,beneteau,first 44.7,racer sailboats,44,diesel,fiberglass / polyester,monohull
2005 beneteau first 44.72005 beneteau first 44.7,119900,2005,beneteau,first 44.7,racer sailboats,44,diesel,fiberglass / polyester,displacement
2005 beneteau oceanis 462005 beneteau oceanis 46,168950,2005,beneteau,oceanis 46,daysailers,44,diesel,other materials,
2006 dufour 442006 dufour 44,107910,2006,dufour,44,daysailers,44,diesel,other materials,
1988 custom aarösund baadebyggeri reichel-pugh1988 custom aarösund baadebyggeri reichel-pugh,70741,1988,custom,aarösund baadebyggeri reichel-pugh,other (sailboats),44,gasoline,fiberglass / polyester,
1994 bavaria 441994 bavaria 44,92650,1994,bavaria,44,sailing yachts,44,diesel,fiberglass / polyester,
2002 bavaria 44-32002 bavaria 44-3,97010,2002,bavaria,44-3,sloop boats,44,diesel,other materials,other
2006 bavaria cruiser 462006 bavaria cruiser 46,160230,2006,bavaria,cruiser 46,sailing yachts,44,diesel,other materials,displacement
2021 bavaria bavaria c422021 bavaria bavaria c42,293210,2021,bavaria,bavaria c42,sailing yachts,44,diesel,fiberglass / polyester,
2003 bavaria bavaria 44/20022003 bavaria bavaria 44/2002,125350,2003,bavaria,bavaria 44/2002,sailing yachts,44,gasoline,composite,
1999 beneteau oceanis 44 center cockpit beneteau oceanis 44 center cockpit1999 beneteau oceanis 44 center cockpit beneteau oceanis 44 center cockpit,147150,1999,beneteau,oceanis 44 center cockpit beneteau oceanis 44 center cockpit,other (sailboats),44,diesel,fiberglass / polyester,
2017 catana bali 4.52017 catana bali 4.5,719400,2017,catana,bali 4.5,catamaran,44,diesel,other materials,
2006 dufour 44 performance2006 dufour 44 performance,130800,2006,dufour,44 performance,racer/cruiser sailboats,44,diesel,fiberglass / polyester,
1987 sirena 441987 sirena 44,75755,1987,sirena,44,sloop boats,44,diesel,other materials,other
1989 wauquiez wauquiez amphitrite ms 45 cc1989 wauquiez wauquiez amphitrite ms 45 cc,136250,1989,wauquiez,wauquiez amphitrite ms 45 cc,daysailers,44,diesel,other materials,
1967 classic ketch 451967 classic ketch 45,53410,1967,classic,ketch 45,sloop boats,44,diesel,wood,
2004 hallberg-rassy 432004 hallberg-rassy 43,348800,2004,hallberg-rassy,43,sailing yachts,44,diesel,fiberglass / polyester,
2019 hanse 4582019 hanse 458,392400,2019,hanse,458,racer/cruiser sailboats,44,other,fiberglass / polyester,displacement
1994 nautica c4 one off1994 nautica c4 one off,119900,1994,nautica c4,one off,daysailers,44,diesel,other materials,
2012 hanse 4452012 hanse 445,174400,2012,hanse,445,sailing yachts,44,diesel,fiberglass / polyester,
2012 hanse 445 2012 hanse 445 owner version2012 hanse 445 2012 hanse 445 owner version,179850,2012,hanse,445 2012 hanse 445 owner version,daysailers,44,,fiberglass / polyester,
2013 hanse 445 2013 hanse 445 (4cabin)2013 hanse 445 2013 hanse 445 (4cabin),176580,2013,hanse,445 2013 hanse 445 (4cabin),daysailers,44,,fiberglass / polyester,
1979 nautor swan swan 4411979 nautor swan swan 441,81750,1979,nautor swan,swan 441,daysailers,44,diesel,other materials,
2023 aventura 45 s2023 aventura 45 s,530830,2023,aventura,45 s,catamaran,44,diesel,fiberglass / polyester,catamaran
2019 beneteau oceanis 452019 beneteau oceanis 45,277950,2019,beneteau,oceanis 45,dinghy sailing boats,44,diesel,fiberglass / polyester,
2002 calixte bruce roberts 43 mk22002 calixte bruce roberts 43 mk2,49050,2002,calixte,bruce roberts 43 mk2,daysailers,44,diesel,other materials,
1996 colin archer kvase 13501996 colin archer kvase 1350,206010,1996,colin archer,kvase 1350,sloop boats,44,diesel,steel,
1998 dick zaal skarpsno 441998 dick zaal skarpsno 44,218000,1998,dick zaal,skarpsno 44,sloop boats,44,diesel,steel,
2006 dufour 44 performance2006 dufour 44 performance,147150,2006,dufour,44 performance,sloop boats,44,diesel,fiberglass / polyester,
2019 dufour 460 grand large2019 dufour 460 grand large,332450,2019,dufour,460 grand large,sailing yachts,44,diesel,fiberglass / polyester,
2000 fastwave 402000 fastwave 40,76300,2000,fastwave,40,sloop boats,44,,composite,other
1970 hillyard 25t ketch1970 hillyard 25t ketch,18530,1970,hillyard,25t ketch,sloop boats,44,diesel,wood,other
2011 najad 440 cc2011 najad 440 cc,599500,2011,najad,440 cc,sloop boats,44,diesel,other materials,other
2018 salona s442018 salona s44,348800,2018,salona,s44,racer/cruiser sailboats,44,diesel,other materials,deep vee
1979 van de stadt 451979 van de stadt 45,57225,1979,van de stadt,45,sloop boats,44,diesel,other materials,semi-displacement
2020 neel 472020 neel 47,730300,2020,neel,47,trimming,44,diesel,other materials,trimaran
1960 carlini donella1960 carlini donella,27250,1960,carlini,donella,unspecified (sailboats),44,diesel,wood,
1970 custom franz maas (nl) german frers / franz maas1970 custom franz maas (nl) german frers / franz maas,70850,1970,custom,franz maas (nl) german frers / franz maas,racer/cruiser sailboats,44,diesel,other materials,displacement
1990 elan elan 431990 elan elan 43,78480,1990,elan,elan 43,sailing yachts,44,diesel,other materials,
1953 elting directievaartuig1953 elting directievaartuig,16350,1953,elting,directievaartuig,sloop boats,44,diesel,steel,
2013 felci 442013 felci 44,316100,2013,felci,44,sailing yachts,44,diesel,fiberglass / polyester,
2022 fountaine pajot elba 452022 fountaine pajot elba 45,0,2022,fountaine pajot,elba 45,catamaran,44,diesel,fiberglass / polyester,
1977 britton chance s&s 441977 britton chance s&s 44,64310,1977,britton chance,s&s 44,sloop boats,44,diesel,other materials,other
1998 nautor swan 44 mkii1998 nautor swan 44 mkii,212550,1998,nautor swan,44 mkii,sloop boats,44,diesel,fiberglass / polyester,
2023 custom dufour catamarans 44 cervetti sail2023 custom dufour catamarans 44 cervetti sail,0,2023,custom,dufour catamarans 44 cervetti sail,catamaran,44,diesel,other materials,catamaran
2007 elan impression 4342007 elan impression 434,179850,2007,elan,impression 434,racer/cruiser sailboats,43,diesel,fiberglass / polyester,monohull
2023 jeanneau sun odyssey 4402023 jeanneau sun odyssey 440,394232,2023,jeanneau,sun odyssey 440,sailing yachts,43,diesel,fiberglass / polyester,monohull
2008 jeanneau sun odyssey 45 ds2008 jeanneau sun odyssey 45 ds,201650,2008,jeanneau,sun odyssey 45 ds,racer/cruiser sailboats,43,diesel,fiberglass / polyester,monohull
1984 reliance 441984 reliance 44,58860,1984,reliance,44,classic sailboats,43,diesel,fiberglass / polyester,
1998 beneteau oceanis 44 cc1998 beneteau oceanis 44 cc,119900,1998,beneteau,oceanis 44 cc,sailing yachts,43,diesel,fiberglass / polyester,
1998 contest 441998 contest 44,195110,1998,contest,44,sloop boats,43,diesel,other materials,other
1998 contest 441998 contest 44,195110,1998,contest,44,sloop boats,43,diesel,other materials,other
2008 elan impression 4342008 elan impression 434,190750,2008,elan,impression 434,sailing yachts,43,diesel,fiberglass / polyester,
1978 endurance 441978 endurance 44,92650,1978,endurance,44,sloop boats,43,diesel,steel,
2023 grand soleil 44 performance2023 grand soleil 44 performance,533653,2023,grand soleil,44 performance,sailing yachts,43,diesel,fiberglass / polyester,
1984 nauticat 431984 nauticat 43,119900,1984,nauticat,43,sloop boats,43,diesel,fiberglass / polyester,other
1998 nautor swan 44 mkii1998 nautor swan 44 mkii,282310,1998,nautor swan,44 mkii,sloop boats,43,diesel,other materials,
1997 schoechl sunbeam 441997 schoechl sunbeam 44,198380,1997,schoechl,sunbeam 44,daysailers,43,diesel,fiberglass / polyester,
1979 trintella 441979 trintella 44,103550,1979,trintella,44,sloop boats,43,diesel,fiberglass / polyester,other
1998 grand soleil 431998 grand soleil 43,119900,1998,grand soleil,43,racer sailboats,43,diesel,fiberglass / polyester,monohull
2000 grand soleil grand soleil 432000 grand soleil grand soleil 43,118810,2000,grand soleil,grand soleil 43,racer/cruiser sailboats,43,diesel,fiberglass / polyester,displacement
2008 alubat ovni 4352008 alubat ovni 435,277950,2008,alubat ovni,435,sloop boats,43,diesel,aluminum,trimaran
2004 beneteau first 44.72004 beneteau first 44.7,114450,2004,beneteau,first 44.7,racer/cruiser sailboats,43,diesel,other materials,
1973 ste nautic saintonge rorqual 441973 ste nautic saintonge rorqual 44,80660,1973,ste nautic saintonge,rorqual 44,classic sailboats,43,diesel,other materials,
2017 jeanneau sun odyssey 4492017 jeanneau sun odyssey 449,183120,2017,jeanneau,sun odyssey 449,sloop boats,43,diesel,other materials,other
2011 dehler varianta 44 -verkauft-2011 dehler varianta 44 -verkauft-,107910,2011,dehler,varianta 44 -verkauft-,daysailers,43,diesel,fiberglass / polyester,
2012 hanse varianta 44 -verkauft-2012 hanse varianta 44 -verkauft-,107910,2012,hanse,varianta 44 -verkauft-,daysailers,43,,fiberglass / polyester,
2006 dean dean 4412006 dean dean 441,381500,2006,dean,dean 441,sailing yachts,43,diesel,fiberglass / polyester,
2007 hanse 430e2007 hanse 430e,168950,2007,hanse,430e,sloop boats,43,diesel,composite,other
1992 jeanneau sun odyssey 441992 jeanneau sun odyssey 44,76300,1992,jeanneau,sun odyssey 44,sailing yachts,43,diesel,fiberglass / polyester,
2008 van de stadt 442008 van de stadt 44,249610,2008,van de stadt,44,sloop boats,43,diesel,other materials,
